model,image,width,height,pixels,gray_ms,blur_ms,sobel_ms,unsharp_ms,total_ms,threads,processes
sequential,architecture.bmp,6000,4000,24000000,36.000,649.000,277.000,838.000,1800.000,1,1
openmp,architecture.bmp,6000,4000,24000000,37.000,753.000,256.000,895.000,1941.000,1,1
openmp,architecture.bmp,6000,4000,24000000,20.000,386.000,154.000,489.000,1049.000,2,1
openmp,architecture.bmp,6000,4000,24000000,15.000,219.000,113.000,313.000,660.000,4,1
openmp,architecture.bmp,6000,4000,24000000,10.000,191.000,71.000,200.000,472.000,8,1
hybrid,architecture.bmp,6000,4000,24000000,21.290,201.396,85.736,213.639,522.061,8,1
hybrid,architecture.bmp,6000,4000,24000000,22.070,161.011,77.665,194.945,455.691,8,2
hybrid,architecture.bmp,6000,4000,24000000,22.399,134.275,63.580,182.414,402.668,8,4
cuda,architecture.bmp,6000,4000,24000000,18.753,51.784,25.736,55.000,151.273,1,1
